N°,Etapa,Mes,Actividad,Detalle técnico / Base normativa Organica y Comercio Justo,Responsable,Jornales/ha (ref.),Precio jornal USD (ref.),Insumo(s),Cantidad/ha (ref.),Unidad,Herramientas / Equipo,Dato a capturar en Blockchain (trazabilidad)
1,Producción,Enero,Elaboración Plan de Producción Certificada (PPC),"Registro/planificación anual de actividades orgánicas (Norma PROCAFEQ B.4, obligatorio 2 primeros meses del año)",Productor + Técnico Promotor,1,16,Cuaderno del productor / formato PPC,1,unidad,"Cuaderno del productor, GPS/croquis de finca","id_finca, fecha_PPC, lotes_planificados, hectareas_certificadas"
2,Producción,Enero,"Monitoreo fitosanitario (broca, roya, ojo de gallo)",Verificación de nivel de infestación de broca (Hypothenemus hampei); umbral de tolerancia 5%,Productor,"0,5",16,Ninguno (monitoreo visual/trampas),-,-,"Lupa/frasco muestreo, trampas etológicas instaladas","id_lote, %infestacion_broca, plagas_detectadas, accion_tomada"
3,Producción,Enero,Fertilización orgánica sólida (refuerzo llenado de grano),Aplicación de compost/humus elaborado en finca; registro obligatorio en cuaderno del productor,Productor + Jornal,3,16,Compost / humus (elaboración propia),3–5,qq/ha,"Azadón, carretilla, balde dosificador","id_lote, tipo_abono, cantidad_aplicada, fecha_aplicacion, lote_compost_origen"
4,Producción,Febrero,Continuación PPC y diagnóstico agrícola-social-económico,"Actualización de croquis de finca, inventario de fuentes de agua y fauna silvestre (Norma B.2-B.6)",Productor,1,16,Ninguno,-,-,"Cuaderno del productor, cinta métrica/GPS","id_finca, croquis_actualizado (bool), fuentes_agua_registradas, fauna_registrada"
5,Producción,Febrero,Manejo de malezas (limpia manual selectiva),Control cultural dejando cobertura noble/leguminosas; prohibido herbicida (norma orgánica),Jornal contratado,4,16,Ninguno,-,-,"Machete, lampa, azadón","id_lote, fecha_limpia, jornales_utilizados, metodo"
6,Producción,Febrero,Preparación de semillero / vivero (si hay renovación),"Sustrato tierra:arena:compost 1:1:1 desinfectado; siembra en surcos, cubierta 2 cm de arena",Productor,2,16,"Semilla seleccionada, arena de río, compost",según meta plantas,kg/plantas,"Zaranda, regadera, plástico/paja de cobertura","id_vivero, variedad_semilla, origen_planta_madre, fecha_siembra_semillero"
7,Producción,Marzo,Trasplante a vivero / funda (chapolas),A los ~60 días de germinado; selección de chapolas sanas con un solo tallo y raíz recta,Jornal contratado,5,16,"Fundas de vivero, sustrato",según meta plantas,unidades,"Pala pequeña, regadera, malla sombra","id_vivero, N_plantulas_trasplantadas, fecha, % prendimiento"
8,Producción,Marzo,Fertilización orgánica líquida (biol) — llenado de grano,Aplicación foliar/edáfica de biol (estiércol+melaza+leche fermentados),Productor,2,16,Biol (elaboración propia),200–300,L/ha,"Bomba de mochila (calibrada), EPP completo (guantes, botas, overol)","id_lote, tipo_abono=biol, volumen_aplicado, fecha, operario_certificado_EPP"
9,Producción,Marzo,Control de malezas y manejo de coberturas,Mantener cobertura noble; incorporar rastrojos como mantillo,Jornal contratado,4,16,Ninguno,-,-,"Machete, azadón","id_lote, fecha, jornales"
10,Producción,Abril,Manejo de sombra (raleo/regulación previo a época seca),"Ajuste de copa alta de árboles de sombra permanente (Guabo, Porotillo, Cedro) manteniendo ≤40% cobertura",Jornal contratado,3,16,Ninguno,-,-,"Machete, sierra de poda, escalera","id_lote, %sombra_resultante, especies_sombra, fecha_poda_sombra"
11,Producción,Abril,Preparación de infraestructura de beneficio (pre-cosecha),"Revisión/calibración de despulpadora, limpieza de tanques de fermentación y marquesinas/tendales",Productor,2,16,Ninguno,-,-,"Despulpadora manual, tanques, marquesinas","id_finca, equipo_calibrado (bool), fecha_mantenimiento"
12,Producción,Abril,Monitoreo de maduración y trampeo de broca,Instalación/recarga de trampas con atrayente (alcohol metílico + aceite de clavo de olor),Productor,1,16,Atrayente (metanol + aceite de clavo),1 difusor/lote,unidad,Trampas etológicas,"id_lote, N_trampas, fecha_instalacion, capturas_registradas"
13,Producción,Mayo,Mantenimiento de trampas y control biológico de broca,Aplicación de Beauveria bassiana (entomopatógeno nativo),Jornal contratado,2,16,Beauveria bassiana,1–2,kg/ha o L/ha,"Bomba de mochila calibrada, EPP","id_lote, insumo=Beauveria_bassiana, dosis, fecha_aplicacion"
14,Producción,Mayo,Inicio de maduración de frutos (control visual),Verificación de cambio de color (verde a rojo intenso) por lote/altitud,Productor,"0,5",16,Ninguno,-,-,Ninguno,"id_lote, %maduracion_estimada, fecha_estimada_inicio_cosecha"
15,Producción,Septiembre,Podas fitosanitarias y de formación (post-cosecha inmediata),"Eliminación de ramas secas/enfermas, chupones, descope; herramientas desinfectadas con alcohol/cloro",Jornal contratado,6,16,"Alcohol o cloro comercial (desinfección), pasta cúprica/bordelesa",según necesidad,L / kg,"Tijera de podar, serrucho, machete","id_lote, tipo_poda, N_plantas_podadas, herramienta_desinfectada (bool)"
16,Producción,Septiembre,Repela / recolección de frutos remanentes,Recolección de cerezas residuales para cortar ciclo biológico de la broca,Jornal contratado,3,16,Ninguno,-,-,"Sacos, baldes","id_lote, kg_repela_recolectados, fecha"
17,Producción,Octubre,"Poda de recepa (renovación, cafetales >20 años)",Corte en bisel a 30–40 cm; selección de 2–3 brotes/tocón; protección de cortes con pasta cúprica,Jornal contratado,6,16,Pasta cúprica o ceniza,según N° plantas,kg,"Serrucho desinfectado, machete","id_lote, N_plantas_recepadas, fecha, brotes_seleccionados"
18,Producción,Octubre,Regulación de sombra en época seca,Poda de árboles de sombra para ventilación y aprovechamiento de luz,Jornal contratado,3,16,Ninguno,-,-,"Machete, sierra de poda","id_lote, %sombra_resultante, fecha"
19,Producción,Octubre,Elaboración de compost / biol para próxima campaña,"Montículo de compost (aireado, volteado ≥5 veces en 15 días) y preparación de biol",Productor,4,16,"Estiércol vacuno, restos vegetales, melaza, panela, leche",variable,kg / L,"Pala, recipiente hermético con válvula de desfogue","id_lote_abono, tipo=compost/biol, fecha_inicio, fecha_disponible, insumos_usados"
